iter	Passed	Remaining
0	171	171069
1	172	86042
2	173	57638
3	174	43374
4	175	34891
5	176	29236
6	177	25164
7	178	22089
8	178	19707
9	180	17834
10	181	16283
11	182	15003
12	183	13900
13	183	12955
14	184	12130
15	185	11419
16	186	10786
17	187	10223
18	188	9714
19	189	9264
20	189	8850
21	191	8500
22	192	8161
23	193	7853
24	193	7552
25	194	7273
26	194	7015
27	195	6784
28	196	6570
29	196	6369
30	197	6179
31	198	6003
32	199	5834
33	199	5676
34	200	5537
35	201	5400
36	202	5266
37	203	5139
38	203	5017
39	204	4907
40	205	4805
41	206	4708
42	207	4610
43	207	4517
44	208	4429
45	209	4343
46	210	4266
47	211	4187
48	211	4113
49	212	4045
50	213	3976
51	214	3910
52	215	3852
53	216	3792
54	217	3733
55	218	3675
56	218	3618
57	219	3564
58	220	3513
59	221	3466
60	222	3418
61	222	3371
62	223	3325
63	224	3282
64	225	3238
65	227	3219
66	228	3179
67	229	3139
68	229	3101
69	230	3064
70	231	3029
71	232	2995
72	233	2961
73	234	2928
74	234	2897
75	235	2867
76	236	2838
77	237	2809
78	238	2781
79	239	2753
80	240	2728
81	241	2705
82	242	2676
83	242	2649
84	243	2623
85	244	2601
86	245	2578
87	246	2554
88	247	2531
89	248	2508
90	248	2484
91	249	2464
92	250	2442
93	251	2423
94	252	2404
95	253	2385
96	254	2367
97	255	2347
98	256	2330
99	257	2313
100	257	2295
101	258	2279
102	259	2262
103	260	2246
104	263	2242
105	264	2226
106	264	2210
107	265	2193
108	266	2176
109	266	2159
110	267	2143
111	268	2128
112	269	2116
113	270	2101
114	271	2088
115	272	2076
116	273	2062
117	273	2048
118	274	2035
119	275	2022
120	276	2007
121	277	1993
122	277	1980
123	278	1967
124	279	1953
125	279	1940
126	280	1926
127	280	1913
128	282	1910
129	284	1903
130	285	1891
131	285	1879
132	286	1867
133	287	1856
134	287	1844
135	288	1833
136	289	1821
137	290	1812
138	290	1801
139	291	1791
140	292	1782
141	293	1771
142	294	1764
143	295	1756
144	296	1746
145	296	1736
146	297	1726
147	298	1719
148	299	1712
149	301	1707
150	302	1701
151	303	1693
152	304	1683
153	305	1676
154	305	1667
155	306	1660
156	307	1651
157	308	1643
158	309	1635
159	310	1628
160	310	1618
161	311	1610
162	312	1603
163	313	1596
164	314	1589
165	314	1581
166	315	1575
167	316	1567
168	317	1560
169	318	1554
170	319	1547
171	321	1547
172	322	1542
173	323	1535
174	324	1528
175	324	1521
176	325	1513
177	326	1506
178	326	1498
179	327	1491
180	328	1485
181	334	1502
182	335	1496
183	335	1488
184	341	1504
185	342	1497
186	342	1491
187	343	1483
188	344	1477
189	344	1470
190	345	1463
191	347	1462
192	349	1460
193	352	1463
194	353	1457
195	353	1450
196	354	1444
197	354	1437
198	355	1431
199	356	1425
200	357	1419
201	358	1415
202	359	1410
203	359	1404
204	360	1399
205	361	1392
206	362	1387
207	362	1381
208	363	1376
209	364	1370
210	365	1365
211	366	1360
212	367	1356
213	368	1352
214	369	1347
215	369	1342
216	370	1336
217	371	1332
218	371	1326
219	372	1321
220	373	1316
221	374	1311
222	375	1308
223	379	1313
224	379	1308
225	380	1304
226	381	1299
227	382	1295
228	383	1291
229	384	1286
230	385	1282
231	386	1280
232	387	1276
233	389	1273
234	389	1268
235	390	1264
236	391	1259
237	391	1254
238	392	1249
239	393	1244
240	393	1240
241	394	1236
242	396	1234
243	397	1231
244	398	1226
245	399	1223
246	399	1219
247	401	1216
248	401	1211
249	402	1207
250	406	1211
251	408	1211
252	408	1207
253	409	1203
254	410	1198
255	410	1194
256	411	1190
257	412	1186
258	414	1184
259	415	1183
260	416	1179
261	417	1176
262	418	1172
263	419	1168
